ad_owner,city,description,floor,municipality,price,publish_date,room_num,sqr_m,street,suburb,title,url_link
Agencija,Beograd,"Arena, NOV 3.0 stan, I sprat, tri kancelarije, kuhinja, dve lodje, dva kupatila, izdaje se pravnom licu za potrebe firme,garaža, za gledanje...",I/6,Opština Novi Beograd,850.0,2023-04-12,3.0,92.0,Bulevar Arsenija Carnojevica,Arena,"Arena, za poslovni prostor, sa garažom, I sprat ID",https://www.halooglasi.com/nekretnine/izdavanje-stanova/arena-za-poslovni-prostor-sa-garazom-i-sprat/5425642935364?kid=4
Agencija,Beograd,"Luksuzan novi stambeno-poslovni objekat u bloku 65 - ZepTerra, okružen luksuznim objektima: Wellport, West 65, The one. Ovaj objekat ima idealnu...",II,Opština Novi Beograd,1000.0,2023-04-11,2.0,53.0,Tadije Sondermajera,Blok 65,"ZepTerra, novogradnja, garaža, ID 19829",https://www.halooglasi.com/nekretnine/izdavanje-stanova/zepterra-novogradnja-garaza-id-19829/5425642855942?kid=4
Agencija,Beograd,"Komforan, luksuzno sređen i opremljen stan u naselju West 65, poseduje odvojenu spavaću sobu, terasa sa pogledom na Kulu, grejanje je na gas, zgrada...",II,Opština Novi Beograd,1100.0,2023-04-11,2.0,60.0,Omladinskih brigada,Blok 65,"West 65, lux, novogradnja, garaža, ID 19613",https://www.halooglasi.com/nekretnine/izdavanje-stanova/west-65-lux-novogradnja-garaza-id-19613/5425642870724?kid=4
Agencija,Beograd,"Jovanke Radakovic Odlican stan na II / III, dve lodje, tri spavace sobe (opremljen kompletno ) Stan je pet friendly (moze mali pas/maca ), odmah...",II/3,Opština Zvezdara,700.0,2023-04-12,4.0,105.0,Jovanke Radakovic,Zvezdarska šuma,"Jovanke Radaković, 4.0  odličan stan  ID 8088",https://www.halooglasi.com/nekretnine/izdavanje-stanova/jovanke-radakovic-4-0-odlican-stan-id-8088/5425642891805?kid=4
Agencija,Beograd,"Trosoban stan u ulici Diane Budisavljevic + Garazno mesto Namesten moderno, drugi sprat (od 3) Agencijska provizija 50% ID 8203",II/3,Opština Savski venac,1300.0,2023-04-12,3.0,80.0,Dijane Budisavljevic,Dedinje,"Dedinje, Lux 3.0 stan, garaža, useljiv ID 8203",https://www.halooglasi.com/nekretnine/izdavanje-stanova/dedinje-lux-3-0-stan-garaza-useljiv-id-8203/5425642810754?kid=4
Agencija,Beograd,"Kompletno renoviran, jako lepo sređen stan, potpuno opremljen, funkcionalan, dve spavaće sobe, garderober, prostrana terasa, slobodan parking....",IV/5,Opština Novi Beograd,800.0,2023-04-11,2.5,60.0,Džona Kenedija,Stari Merkator,"Stari Merkator, renoviran, odličan, ID 20011",https://www.halooglasi.com/nekretnine/izdavanje-stanova/stari-merkator-renoviran-odlican-id-20011/5425642946931?kid=4
Agencija,Beograd,"Veoma luksuzno sređen stan, potpuno namešten, kvalitetan, kameni zid, halogena rasveta sa modelima osvetljenja na daljinsko upravljanje, svaka soba...",IV,Opština Savski venac,1900.0,2023-04-11,3.0,127.0,Milovana Glišića,Senjak,"Senjak, lux, dupleks, sa troškovima, ID 11876",https://www.halooglasi.com/nekretnine/izdavanje-stanova/senjak-lux-dupleks-sa-troskovima-id-11876/5425642967785?kid=4
Agencija,Beograd,"Jako lepo sređen stan u luksuznom stambenom kompleksu Central Garden, potpuno opremljen, komforan, odvojena spavaća soba, cg po utrošku, video...",III/7,Opština Palilula,1300.0,2023-04-12,2.0,58.0,Stanoja Glavaša,Tašmajdan,"Central Garden, lux, novogradnja, garaža, ID 20125",https://www.halooglasi.com/nekretnine/izdavanje-stanova/central-garden-lux-novogradnja-garaza-id-2012/5425642987756?kid=4
Agencija,Beograd,"Izdaje se kompletno namešten stan u kuli Verde. Neuseljavan, nov, sa pogledom na Novi Beograd i reku. Prostorije: kuhinja, trpezariija, dnevni...",XIX/21,Opština Savski venac,1500.0,2023-04-11,3.0,68.0,,Beograd na vodi,"Beograd na vodi, kula Verde, 3.0, 68m2 ID#1305",https://www.halooglasi.com/nekretnine/izdavanje-stanova/beograd-na-vodi-kula-verde-3-0-68m2-id1305/5425642950906?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",II/6,Opština Novi Beograd,1150.0,2023-04-11,3.0,75.0,,Blok 65,Novi Beograd - West 65 ID#52364,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---west-65-id52364/5425642987830?kid=4
